Shop_ID	Shop_Name	URL1	URL2	shopID	venderID
玉兰油博尼达专卖店	玉兰油博尼达专卖店	http://mall.jd.com/index-744254.html	https://mall.jd.com/index-744254.html	744254	749152
颐莲旗舰店	颐莲旗舰店	http://mall.jd.com/index-18574.html	https://rellet.jd.com	18574	19286
悦宝莱京东自营旗舰店	悦宝莱京东自营旗舰店	http://mall.jd.com/index-1000101676.html	http://mall.jd.com/index-1000101676.html	1000101676	1000101676
京选优品美妆海外专营店	京选优品美妆海外专营店	http://mall.jd.com/index-777129.html	http://mall.jd.com/index-777129.html	777129	780531
欧诗漫京东自营官方旗舰店	欧诗漫京东自营官方旗舰店	http://mall.jd.com/index-1000014349.html	http://mall.jd.com/index-1000014349.html	1000014349	1000014349
翡弈美妆专营店	翡弈美妆专营店	http://mall.jd.com/index-150717.html	https://feiyism.jd.com	150717	155646
迷奇旗舰店	迷奇旗舰店	http://mall.jd.com/index-27914.html	https://mall.jd.com/index-27914.html	27914	28701
大宝旗舰店	大宝旗舰店	http://mall.jd.com/index-759677.html	https://dabaoxiaoxinle.jd.com	759677	764288
星线美妆海外专营店	星线美妆海外专营店	http://mall.jd.com/index-141918.html	http://mall.jd.com/index-141918.html	141918	146709
百雀羚雅丽专卖店	百雀羚雅丽专卖店	http://mall.jd.com/index-668945.html	https://mall.jd.com/index-668945.html	668945	673203
鑫黛美妆专营店	鑫黛美妆专营店	http://mall.jd.com/index-186529.html	https://mall.jd.com/index-186529.html	186529	194194
珍妮轩海外专营店	珍妮轩海外专营店	http://mall.jd.com/index-191504.html	http://mall.jd.com/index-191504.html	191504	200073
希芙氏官方旗舰店	希芙氏官方旗舰店	http://mall.jd.com/index-640512.html	https://mall.jd.com/index-640512.html	640512	644702
梵蜜琳彩之妃专卖店	梵蜜琳彩之妃专卖店	http://mall.jd.com/index-745981.html	https://mall.jd.com/index-745981.html	745981	750668
阿芝化妆品旗舰店	阿芝化妆品旗舰店	http://mall.jd.com/index-893975.html	https://azhihk.jd.com	893975	10054771
芷芷堂美妆专营店	芷芷堂美妆专营店	http://mall.jd.com/index-28837.html	https://yanshuang.jd.com	28837	29656
美帕京东自营官方旗舰店	美帕京东自营官方旗舰店	http://mall.jd.com/index-1000108950.html	http://mall.jd.com/index-1000108950.html	1000108950	1000108950
丽妆海外专营店	丽妆海外专营店	http://mall.jd.com/index-196536.html	http://mall.jd.com/index-196536.html	196536	205426
Swisse海外自营旗舰店	Swisse海外自营旗舰店	http://mall.jd.com/index-1000074146.html	http://mall.jd.com/index-1000074146.html	1000074146	1000074146
健之佳大药房旗舰店	健之佳大药房旗舰店	http://mall.jd.com/index-53670.html	https://jianzhijia.jd.com	53670	57810
妮维雅NIVEA海外官方旗舰店	妮维雅NIVEA海外官方旗舰店	http://mall.jd.com/index-876500.html	http://mall.jd.com/index-876500.html	876500	10038589
Za姬芮京东自营旗舰店	Za姬芮京东自营旗舰店	http://mall.jd.com/index-1000003224.html	http://mall.jd.com/index-1000003224.html	1000003224	1000003224
佰草集京东自营旗舰店	佰草集京东自营旗舰店	http://mall.jd.com/index-1000003221.html	http://mall.jd.com/index-1000003221.html	1000003221	1000003221
韩束优美专卖店	韩束优美专卖店	http://mall.jd.com/index-744321.html	https://mall.jd.com/index-744321.html	744321	749147
薇诺娜嗯啊专卖店	薇诺娜嗯啊专卖店	http://mall.jd.com/index-845775.html	https://mall.jd.com/index-845775.html	845775	10010945
迪奥（Dior）美妆京东自营专区	迪奥（Dior）美妆京东自营专区	http://mall.jd.com/index-1000081945.html	http://mall.jd.com/index-1000081945.html	1000081945	1000081945
