Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
卡姿兰（Carslan）自然塑形眉笔01#浅咖啡 1g 耐汗防晕染持久显色	https://item.jd.com/3236334.html	3236334	眉笔	3236334	香水彩妆	1316,1387,1423	25.00	35.00	;商品名称：卡姿兰眉笔;;商品编号：3236334;;商品毛重：9.00g;;商品产地：广东广州;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：浅棕;	1000002523		满99元减20元;满299元减30元	99	0	1	260000	1100	700	260000	180000	5
凯朵（KATE）双效立体眉笔 BR-3（扁平芯）自然棕色 0.5g （双头眉笔 持久 防水不晕染 彩妆）	https://item.jd.com/2562029.html	2562029	眉笔	2562029	香水彩妆	1316,1387,1423	139.00	149.00	;商品名称：凯朵眉笔;;商品编号：2562029;;商品毛重：20.00g;;商品产地：江苏;;颜色：浅棕;;分类：眉笔;	1000010589		满499元减150元;满299元减30元	99	1	0	3500	10	20	3600	2400	5
玛丽黛佳（MARIEDALGAR）自然生动眉笔0.2g*2 02 浅咖(防水防汗 不易晕染 扁平笔头 配替换式笔芯)	https://item.jd.com/1133515.html	1133515	眉笔	1133515	香水彩妆	1316,1387,1423	42.00	48.00	;商品名称：玛丽黛佳眉笔;;商品编号：1133515;;商品毛重：20.00g;;商品产地：中国上海;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：浅棕;	1000002502	有效期2018-12-01至2018-12-31,满99减10	每满199元，可减100元现金;满199元减100元	99	0	1	330000	1800	900	330000	200000	5
Mistine（蜜丝婷）3D立体眉笔眉粉染眉膏三合一 1#深棕色 （防水 防汗 不晕染  易上色 自然锁色） 泰国进口	https://item.jd.com/5733442.html	5733442	眉笔	5733442	香水彩妆	1316,1387,1423	69.00	119.00	;商品名称：Mistine眉笔;;商品编号：5733442;;商品毛重：35.00g;;商品产地：泰国;;国产/进口：进口;;分类：眉笔;;产品产地：泰国;;颜色：深棕;	1000092494		满199元减100元;满3件，立减最低1件商品价格	99	1	0	14000	30	40	14000	11000	5
【送3对眉形+口红+眉刷】眉毛印眉画眉神器懒人印章眉粉印眉笔防水防汗防晕染眉形印章初学者 #201棕色	https://item.jd.com/32460102653.html	32460102653	眉笔	32460102653	香水彩妆	1316,1387,1423	69.00	105.00	;商品名称：【送3对眉形+口红+眉刷】眉毛印眉画眉神器懒人印章眉粉印眉笔防水防汗防晕染眉形印章初学者 #201棕色;;商品编号：32460102653;;店铺：;伊然化妆品专营店;;商品毛重：6.00g;;商品产地：中国大陆;;货号：卡希尔-K210印眉章;;国产/进口：国产;;分类：眉粉;;产品产地：中国大陆;;颜色：棕色;	664537			98	2	0	900	2	10	900	600	5
美宝莲 MAYBELLINE轻松画三角眉笔-灰色 0.2g（防水 不晕染 持久 眉笔）	https://item.jd.com/3376359.html	3376359	眉笔	3376359	香水彩妆	1316,1387,1423	77.00	79.00	;商品名称：美宝莲三角眉笔;;商品编号：3376359;;商品毛重：10.00g;;商品产地：中国上海;;分类：眉笔;	1000002522		每满199元，可减100元现金;满3件，立减最低1件商品价格	98	0	2	160000	900	700	170000	120000	5
【第二支1元】巧迪尚惠（Qdsuh）眉笔 防水防汗持久不晕染0.25g自然色眉笔眉粉套装 2#烟灰色送眉卡+修眉刀	https://item.jd.com/10062674713.html	10062674713	眉笔	10062674713	香水彩妆	1316,1387,1423	26.00	35.00	;商品名称：【第二支1元】巧迪尚惠（Qdsuh）眉笔 防水防汗持久不晕染0.25g自然色眉笔眉粉套装 2#烟灰色送眉卡+修眉刀;;商品编号：10062674713;;店铺：;巧迪尚惠官方旗舰店;;商品毛重：50.00g;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：深棕;	75094	有效期2018-11-06至2019-02-03,满79减5;有效期2018-11-06至2019-02-03,满149减10;有效期2018-10-31至2018-12-31,满199减20	满50元减25元，满58元减28元	98	1	1	170000	1400	1000	170000	120000	5
BSIMONE双头细致眉笔 防水防汗不易脱色持久不晕染6色眉笔自然初学者 04#深咖色	https://item.jd.com/30889891070.html	30889891070	眉笔	30889891070	香水彩妆	1316,1387,1423	49.90	69.00	;商品名称：BSIMONE双头细致眉笔 防水防汗不易脱色持久不晕染6色眉笔自然初学者 04#深咖色;;商品编号：30889891070;;店铺：;BSIMONE化妆品官方旗舰店;;商品毛重：52.00g;;商品产地：中国大陆;;货号：6032;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：黑色;	818178	有效期2018-11-11至2018-12-31,满59减10;有效期2018-11-01至2018-12-31,满99减15;有效期2018-11-01至2018-12-31,满199减20		99	0	1	5800	10	5	5800	4600	5
奇士美（KissMe） HEAVY ROTATION染眉膏04自然裸棕8g（耐汗 耐水）	https://item.jd.com/1502003.html	1502003	眉笔	1502003	香水彩妆	1316,1387,1423	98.00	118.00	;商品名称：奇士美染眉膏;;商品编号：1502003;;商品毛重：40.00g;;商品产地：天津;;国产/进口：国产;;分类：染眉膏;;产品产地：中国大陆;;颜色：浅棕;	1000002495		每满299元，可减120元现金，最多可减1000元;满3件，立减最低1件商品价格	99	0	1	16000	90	50	16000	10000	5
	https://item.jd.com/11190803903.html	11190803903	眉笔	11190803903	香水彩妆	1316,1387,1423	24.00	69.00	;商品名称：【爱丽小屋旗舰店】 爱丽小屋双头旋转自动眉笔一字眉画眉防水不晕染 2号浅灰咖;;商品编号：11190803903;;店铺：;爱丽小屋旗舰店;;商品毛重：500.00g;;商品产地：中国大陆;;货号：专款眉笔;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：黑色;	611922	有效期2018-12-01至2018-12-31,满69减5;有效期2018-12-01至2018-12-31,满129减10;有效期2018-11-17至2018-12-31,满199减20	满499元减150元，包邮（限中国内地）	99	1	0	42000	100	100	43000	34000	5
