Items	URL	Class	Class_ID
香水	https://list.jd.com/list.html?cat=1316,1387,11932	香水彩妆	1316,1387,11932
底妆	https://list.jd.com/list.html?cat=1316,1387,1420	香水彩妆	1316,1387,1420
腮红	https://list.jd.com/list.html?cat=1316,1387,1421	香水彩妆	1316,1387,1421
眼影	https://list.jd.com/list.html?cat=1316,1387,1422	香水彩妆	1316,1387,1422
唇部	https://list.jd.com/list.html?cat=1316,1387,1425	香水彩妆	1316,1387,1425
美甲	https://list.jd.com/list.html?cat=1316,1387,1428	香水彩妆	1316,1387,1428
眼线	https://list.jd.com/list.html?cat=1316,1387,13549	香水彩妆	1316,1387,13549
美妆工具	https://list.jd.com/list.html?cat=1316,1387,1429	香水彩妆	1316,1387,1429
套装	https://list.jd.com/list.html?cat=1316,1387,1426	香水彩妆	1316,1387,1426
防晒隔离	https://list.jd.com/list.html?cat=1316,1387,1419	香水彩妆	1316,1387,1419
卸妆	https://list.jd.com/list.html?cat=1316,1387,1427	香水彩妆	1316,1387,1427
眉笔	https://list.jd.com/list.html?cat=1316,1387,1423	香水彩妆	1316,1387,1423
睫毛膏	https://list.jd.com/list.html?cat=1316,1387,1424	香水彩妆	1316,1387,1424
